No,Nama Kegiatan,Tahun Perolehan,Lokal/Wilayah,Nasional,Internasional,Prestasi yang Dicapai,,Pertanyaan Quis:,
,,,,,,,,1,Visualisasikan jumlah prestasi yang dicapai
1,Youth Innovation Forum Japan,2020,,v,,Peserta,,2,Visualisasikan rasio prestasi berdasarkan tingkat perlombaan
2,Pemilihan Putera Remaja Bali 2020,2020,v,,,Peringkat 4,,,
3,Lomba Pengusaha Kampus (Asean Leaderpreneur Learning Exchange 2020),2020,,v,,Peringkat 6,,,
4,Lomba Reporter dan Presenter Berita Tingkat Umum Se-Bali dalam Acara Lomba Jurnalistik 2019 UKM Jurnalistik Politeknik Negeri Bali,2020,v,,,Juara Berbakat,,,
5,Lomba Bapang Barong Se-Bali,2020,v,,,Juara 2,,,
6,VOSCOM II,2020,v,,,Juara Umum,,,
7,STUDENT HOME CHALLENGE Kisah inspiratif,2020,,v,,Peserta,,,
8,LKTI INVENTION 2020,2020,,v,,Finalis,,,
9,PKM 2020,2020,,v,,Peserta,,,
10,LKTI INVENTION 2020,2020,,v,,Finalis,,,
11,Program Kreativitas Mahasiswa (PKM) 2020,2020,,v,,Peserta,,,
12,LKTI INVENTION 2020,2020,,v,,Finalis,,,
13,LKTI INVENTION 2020,2020,,v,,Finalis,,,
14,LKTI INVENTION 2020,2020,,v,,finalis,,,
15,LKTI INVENTION 2020,2020,,v,,Finalis,,,
16,GKSK,2020,v,,,Peserta,,,
17,Volunteer Competition 2020,2020,v,,,Juara Umum,,,
18,Rektor Cup -  Kelas I Putra,2020,,,,Juara 3,,,
19,Walikota Cup Petanque X 2019 - Tripel Campuran,2019,v,,,Juara 3,,,
20,LOMBA ARTIKEL KISARA 2019,2019,v,,,Peserta,,,
21,National Business Competition EYBI-C 2019,2019,v,,,Finalis,,,
22,Lomba Jurnalistik 2019,2019,v,,,Peserta,,,
23,Rektor Cup 2019 Kejuaraan Pencak Silat - Kelas B Putra,2019,,,,Juara 3,,,
24,Volunteer Competition 2019,2019,v,,,Juara Umum,,,
25,BSC IV 2017 - Tunggal Putri,2017,v,,,Juara 2,,,
26,BSC IV 2017 - Tunggal Pemula,2017,v,,,Juara 1,,,
27,BSC IV 2017 - Ganda Putra,2017,v,,,Juara 3,,,
28,BSC IV 2017 - Tunggal Pemula Putra,2017,v,,,Juara 2,,,
29,BSC IV 2017 - Ganda Campuran,2017,v,,,Juara 3,,,
30,BSC IV 2017 - Tunggal Putri,2017,v,,,Juara 1,,,
31,BSC IV 2017,2017,v,,,Juara 3,,,
32,KBOR V 2016 - Desain Poster,2016,v,,,Juara 3,,,
33,KBOR V 2016 - The Best Body Contest,2016,v,,,Juara 1,,,
34,KBOR V 2016 - Business Model Plan Canvas,2016,v,,,Juara 2,,,
35,KBOR V 2016 - The Best Sixpack,2016,v,,,Juara 1,,,
36,KBOR V 2016 - The Best Perform,2016,v,,,Juara 1,,,
37,KBOR V 2016 - Lomba Busana Adat Bali,2016,v,,,Juara 1,,,
38,KBOR V 2016  - Lomba Busana Adat Bali,2016,v,,,Juara 2,,,
39,KBOR V 2016 - Lomba Busana Adat Bali,2016,v,,,Juara 3,,,
40,KBOR V 2016 - Lomba Cepat Tepat Agama dan Budaya,2016,v,,,Juara 2,,,
41,KBOR V 2016 - Lomba Business Plan,2016,v,,,Juara 1,,,
42,KBOR V 2016 - Lomba Business Plan,2016,v,,,Juara 3,,,
43,KBOR V 2016 - Lomba Desain Poster Adu Karya,2016,v,,,Juara 2,,,
44,KBOR V 2016 - Lomba Tabuh Mini Jauk Manis,2016,v,,,Juara 1,,,
45,KBOR V 2016 - Lomba Tabuh Mini Barong,2016,v,,,Juara 1,,,
46,KBOR V 2016 - Lomba Tabuh Mini Jauk Keras,2016,v,,,Juara 1,,,
47,KBOR V 2016 - Lomba Tari Pendet,2016,v,,,Juara 1,,,
48,KBOR V 2016 - Lomba Tari Puspanjali,2016,v,,,Juara 1,,,
49,KBOR V 2016 - Lomba Tari Sekar Jagat,2016,v,,,Juara 1,,,
50,KBOR V 2016 - Standup Comedy Contest,2016,v,,,Juara 2,,,
51,KBOR V 2016 - Lomba Catur,2016,v,,,Juara 3,,,
52,KBOR V 2016 - Lomba Reporter,2016,v,,,Juara 1,,,
53,KBOR V 2016 - Lomba Reporter,2016,v,,,Juara 2,,,
54,KBOR V 2016 - Lomba Reporter,2016,v,,,Juara 3,,,
55,KBOR V 2016 - Lomba Penyiar Radio,2016,v,,,Juara 1,,,
56,KBOR V 2016 - Lomba Penyiar Radio,2016,v,,,Juara 2,,,
57,KBOR V 2016 - Lomba Penyiar Radio,2016,v,,,Juara 3,,,
58,KBOR V 2016 - Lomba Pop Solo Indonesia,2016,v,,,Juara 3,,,
59,Putra-Putri Kampus Ajeg Bali 2016,2016,v,,,Juara 3,,,
60,Miss STIKOM Bali 2016,2016,v,,,Juara 1,,,
61,Miss STIKOM Bali 2016,2016,v,,,Juara 2,,,
62,Miss STIKOM Bali 2016,2016,v,,,Juara 3,,,
